location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,case_fatality_rate,peak_date,peak_7day_cases,peak_cases_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred
Cyprus,660854.0,1364.0,896007.0,737554.505712567,1522.3095355281823,0.20639959809579728,2022-03-31,4908.285714285715,5477.95465245887,,,
Czechia,4657581.0,42884.0,10493990.0,443833.1845179955,4086.5295278535623,0.9207354633231284,2022-02-02,45292.857142857145,4316.075881800644,66.04,64.75,163.05
Democratic Republic of Congo,99181.0,1468.0,99010216.0,1001.7249129120171,14.826752827203205,1.4801222008247548,2021-12-22,1017.5714285714286,10.277438729872367,0.22,0.1,0.29
Denmark,3417017.0,8824.0,5882259.0,580902.1670076071,1500.103956660188,0.25823693590052377,2022-02-14,46336.71428571428,7877.367230126093,,,
Djibouti,15690.0,189.0,1120851.0,13998.292368923256,168.6218774841616,1.2045889101338432,2021-04-05,190.71428571428572,170.15132762007235,,,
Dominica,15798.0,74.0,72758.0,217130.76225294813,1017.070287803403,0.46841372325610836,2022-02-12,182.71428571428572,2511.2604210435375,,,
Dominican Republic,667074.0,4384.0,11228821.0,59407.30553991376,390.42389223231896,0.6571984517459832,2022-01-15,6378.0,568.0026424857962,62.05,51.14,127.67
Ecuador,1069139.0,36043.0,18001002.0,59393.30488380591,2002.2774287786867,3.371217400169669,2022-01-22,9197.285714285714,510.93187558590984,81.06,73.36,164.12
Egypt,516023.0,24830.0,110990096.0,4649.2706880801325,223.71365459491088,4.8118010243729445,2022-02-08,2287.4285714285716,20.609303477209096,,,
El Salvador,201808.0,4230.0,6336393.0,31849.03461638191,667.5722291846481,2.0960516926980097,2022-02-15,1811.0,285.80929244761177,71.87,66.81,159.58
Equatorial Guinea,17130.0,183.0,1674916.0,10227.378567044556,109.259210611159,1.0683012259194395,2022-01-13,206.14285714285714,123.07653466971308,,,
Eritrea,10189.0,103.0,3684041.0,2765.712976592823,27.95842934429883,1.0108941014819903,2021-06-11,83.42857142857143,22.645939995936914,,,
Estonia,602187.0,2902.0,1326064.0,454116.090927738,2188.431327598065,0.4819101043363606,2022-02-06,6861.571428571428,5174.389342121819,64.49,63.58,145.59
Eswatini,75052.0,1427.0,1201680.0,62455.895080221024,1187.5041608414886,1.9013483984437456,2021-12-18,1100.5714285714287,915.8606522297356,,,
Ethiopia,501060.0,7574.0,123379928.0,4061.1143815872542,61.38761890021527,1.5115954177144455,2022-01-01,4229.285714285715,34.27855553851283,7.57,,8.85
Faeroe Islands,34658.0,28.0,53117.0,652484.1387879587,527.1382043413596,0.08078942812626233,2022-02-06,710.4285714285714,13374.787194844805,,,
Falkland Islands,1923.0,0.0,3801.0,505919.49486977106,0.0,0.0,2022-05-13,104.85714285714286,27586.72529785395,,,
Fiji,69047.0,885.0,929769.0,74262.5318761972,951.8493303175304,1.2817356293539184,2021-07-21,1111.0,1194.9204587376003,,,
Finland,1487090.0,10321.0,5540745.0,268391.70544755267,1862.74589427956,0.69404003792642,2022-01-02,8762.857142857143,1581.5304878418233,,,
France,38997490.0,167985.0,67813000.0,575073.9533717723,2477.1798917611663,0.4307584924055368,2022-01-23,345291.85714285716,5091.82394441858,79.62,75.6,199.34
French Guiana,98041.0,413.0,304568.0,321901.8412965249,1356.0190170996295,0.42125233320753563,2022-01-12,1701.2857142857142,5585.897777460909,,,
French Polynesia,78642.0,649.0,306292.0,256754.99196844842,2118.8930824180848,0.8252587675796649,2022-02-18,1245.4285714285713,4066.1478962185474,,,
Gabon,48992.0,307.0,2388997.0,20507.350992906227,128.50581227184463,0.6266329196603527,2021-12-29,433.42857142857144,181.42700532004494,,,
Gambia,12626.0,372.0,2705995.0,4665.936189830358,137.47253782804478,2.946301283066688,2021-08-01,137.57142857142858,50.83949843640826,,,
Georgia,1855289.0,17132.0,3744385.0,495485.64049904054,4575.384208621709,0.9234140880477381,2022-02-06,21690.0,5792.67356321532,,,
Germany,38437756.0,174979.0,83369840.0,461051.0947364179,2098.828545190923,0.4552268868141002,2022-03-27,226984.42857142858,2722.62041730473,77.45,75.64,213.09
Ghana,171653.0,1462.0,33475870.0,5127.663597689918,43.673248820717724,0.8517182921358788,2021-12-30,1230.857142857143,36.76848855181786,,,
Gibraltar,20550.0,113.0,32677.0,628882.700370291,3458.089787924228,0.5498783454987834,2022-01-10,152.85714285714286,4677.8205727925715,,,
Greece,5405742.0,37572.0,10384972.0,520535.05777386785,3617.920202384754,0.6950387199389094,2022-01-09,34474.142857142855,3319.618276981667,72.62,68.63,173.81
Greenland,11971.0,21.0,56494.0,211898.60870180905,371.72089071405816,0.1754239411912121,2022-01-14,525.5714285714286,9303.137122020542,,,
Grenada,19693.0,238.0,125459.0,156967.61491802102,1897.0340908185144,1.2085512618696999,2022-01-17,290.2857142857143,2313.7894793176597,,,
Guadeloupe,203235.0,1021.0,395762.0,513528.3326847954,2579.8333341755906,0.5023740989494919,2022-01-31,3131.285714285714,7912.042374673956,,,
Guam,52032.0,417.0,171783.0,302893.7671364454,2427.481182654861,0.801429889298893,2022-02-13,843.2857142857143,4909.017273453801,,,
Guatemala,1271070.0,20235.0,17843914.0,71232.69031670966,1134.0000854072712,1.591965824069485,2022-07-17,5462.714285714285,306.1387925157163,,,
Guernsey,35326.0,67.0,63329.0,557817.1138025234,1057.9671240663833,0.18966200532185926,2022-03-23,419.42857142857144,6623.009544262051,,,238.0
Guinea,38563.0,468.0,13859349.0,2782.4539233408436,33.76781983049853,1.2135985270855485,2022-01-06,298.2857142857143,21.52234670515291,,,
Guinea-Bissau,9614.0,177.0,2105580.0,4565.962822595199,84.0623486165332,1.841065113376326,2020-05-13,77.71428571428571,36.90873095027769,,,
Guyana,73388.0,1299.0,808727.0,90745.08455881898,1606.2280596542466,1.7700441489071783,2022-01-20,1024.7142857142858,1267.0706996480715,,,
Haiti,34368.0,860.0,11585003.0,2966.593966354605,74.23390395324024,2.502327746741155,2020-06-07,191.42857142857142,16.52382579690065,,,
Honduras,474587.0,11127.0,10432858.0,45489.644352487114,1066.534213347867,2.344564853230282,2021-08-20,1633.2857142857142,156.55208901393215,,,
Hungary,2207969.0,48815.0,9967304.0,221521.18566866225,4897.512908204666,2.2108553154505337,2022-01-31,16002.857142857143,1605.5351720843612,63.85,61.23,159.8
Iceland,209142.0,186.0,372903.0,560848.263489433,498.78922937064067,0.0889347907163554,2022-03-13,2805.714285714286,7523.978851643151,,,
India,44999588.0,532037.0,1417173120.0,31753.06345070954,375.42131761573347,1.1823152691975758,2021-05-09,391279.5714285714,276.09864024839214,9.45,2.43,11.88
Indonesia,6813429.0,161918.0,275501344.0,24731.019098041135,587.7212707898805,2.376453911826189,2022-02-20,55675.28571428572,202.08716555040007,68.84,50.93,122.91
Iran,7619981.0,146480.0,88550568.0,86052.31081069971,1654.1960521359954,1.9223145044587382,2021-08-18,39795.28571428572,449.4074585076147,,,
Iraq,2465545.0,25375.0,44496124.0,55410.33192014657,570.2743906413061,1.029184216876999,2021-08-03,11985.57142857143,269.36214553365204,,,
Ireland,1722546.0,9251.0,5023108.0,342924.3408662525,1841.6884526472454,0.5370538725816321,2022-01-14,22479.571428571428,4475.231555557122,79.7,77.53,204.24
Isle of Man,38008.0,116.0,84534.0,449617.90522156766,1372.2289256393876,0.3051989054935803,2022-01-06,451.57142857142856,5341.891174810473,81.42,77.52,214.28
Israel,4840714.0,12697.0,9449000.0,512299.0792676474,1343.7400783151656,0.2622960166620048,2022-01-26,75623.85714285714,8003.371482998958,70.91,64.47,189.22
Italy,26168412.0,192013.0,59037472.0,443250.88987550145,3252.391972339195,0.7337587011393737,2022-01-15,181821.7142857143,3079.767952898022,83.85,76.74,203.44
Jamaica,156414.0,3610.0,2827382.0,55321.141607324374,1276.7995269121752,2.3079775467669132,2022-01-18,1425.7142857142858,504.2524447401468,25.93,21.2,44.88
Japan,33803572.0,74694.0,123951696.0,272715.6875691318,602.6057118250322,0.2209648140143296,2022-08-25,227836.7142857143,1838.1088894960685,84.0,82.84,253.59
Jersey,66391.0,161.0,110796.0,599218.3833351384,1453.121051301491,0.24250274886656326,2022-01-11,516.0,4657.2078414383195,,,
Jordan,1746997.0,14122.0,11285875.0,154794.99817249438,1251.298636570049,0.8083585718807761,2022-02-15,19820.0,1756.1775227884414,41.18,38.25,83.6
Kazakhstan,1502857.0,19072.0,19397998.0,77474.8507552171,983.1942450968395,1.2690495502898813,2022-01-23,13894.0,716.259482035208,47.03,44.77,91.8
Kenya,343999.0,5689.0,54027484.0,6367.111228055706,105.29825893798794,1.6537838772787128,2021-12-28,2774.714285714286,51.35745883917685,,7.44,18.03
Kiribati,5085.0,24.0,131237.0,38746.69491073401,182.87525621585374,0.471976401179941,2023-01-09,213.0,1623.017898915702,,,
Kosovo,274247.0,3211.0,1782115.0,153888.49765587517,1801.791691333051,1.1708423428515171,2022-01-30,3352.285714285714,1881.071487690589,50.14,45.18,99.66
Kuwait,666432.0,2570.0,4268886.0,156113.7964330741,602.030600020708,0.3856357437818112,2022-02-03,6274.142857142857,1469.737738872122,,,
Kyrgyzstan,88889.0,1024.0,6630621.0,13405.833329939986,154.43500691715,1.1519985600018001,2021-07-04,1446.2857142857142,218.1222112205952,,,
Laos,218876.0,671.0,7529477.0,29069.216892488017,89.11641538980729,0.30656627496847527,2022-04-02,2555.5714285714284,339.40888969730946,,,
Latvia,976316.0,7384.0,1850654.0,527551.8816591323,3989.9408533415753,0.7563125053773574,2022-02-13,9788.142857142857,5289.018291448784,72.41,69.94,152.89
Lebanon,1239904.0,10947.0,5489744.0,225858.2549568796,1994.0820555566888,0.8828909334916252,2022-02-06,8257.57142857143,1504.1815116645564,44.64,37.23,90.3
Lesotho,35836.0,709.0,2305826.0,15541.502264264518,307.4820042795944,1.9784574171224467,2021-01-11,479.57142857142856,207.98248808514978,,,
Liberia,8090.0,294.0,5302690.0,1525.6407596898932,55.443557892315035,3.634116192830655,2021-07-04,163.14285714285714,30.76605593441388,,,
Libya,507269.0,6437.0,6812344.0,74463.20972634382,944.902371342375,1.2689519761704342,2022-02-05,3761.8571428571427,552.2118587753558,,,
Liechtenstein,21497.0,87.0,39355.0,546233.0072417737,2210.6466776775505,0.40470763362329626,2022-03-09,178.71428571428572,4541.082091583934,67.87,,178.47
Lithuania,1333228.0,9718.0,2750058.0,484799.95694636257,3533.743651952068,0.7289075836991122,2022-02-05,12701.142857142857,4618.499994233888,70.69,67.8,161.06
Luxembourg,384378.0,1000.0,647601.0,593541.3935432466,1544.1606791836332,0.2601605711044857,2022-01-23,2630.4285714285716,4061.8043694011767,,,
Madagascar,68350.0,1425.0,29611718.0,2308.207852040196,48.122841099594424,2.0848573518653986,2021-04-20,633.8571428571429,21.405618642496286,,,
Malawi,88986.0,2686.0,20405318.0,4360.921991022144,131.63235191923988,3.0184523408176567,2021-01-26,994.5714285714286,48.740795344205296,,,
Malaysia,5130847.0,37195.0,33938216.0,151181.98905917743,1095.9621448575847,0.7249290419301141,2022-03-09,30729.85714285714,905.4647169096085,80.25,75.96,200.48
Maldives,186694.0,316.0,523798.0,356423.65950232727,603.2859995647177,0.16926092964958703,2022-01-31,2673.1428571428573,5103.385001742766,75.92,70.62,161.02
Mali,33158.0,743.0,22593598.0,1467.583870439759,32.88542179072142,2.2407865371855964,2022-01-13,616.4285714285714,27.28332917265198,,,
Malta,120422.0,882.0,533293.0,225808.3267547108,1653.875074302494,0.732424307850725,2022-01-02,1159.7142857142858,2174.6287420129006,83.4,81.76,201.76
Marshall Islands,16138.0,17.0,41593.0,387997.9804293992,408.72262159497996,0.10534143016482836,2022-08-21,1298.0,31207.174284134348,,,
Martinique,230354.0,1104.0,367512.0,626793.138727443,3003.9835433945013,0.4792623527266729,2022-03-12,2130.714285714286,5797.672690182323,,,
Mauritania,63774.0,997.0,4736146.0,13465.378812224117,210.50871320267578,1.5633330197259072,2022-01-13,1049.857142857143,221.66908343981433,,,
Mauritius,309917.0,1054.0,1299478.0,238493.4566033438,811.0949165741937,0.3400910566377449,2022-02-19,2886.8571428571427,2221.5513789822858,,,
Mayotte,42027.0,187.0,326113.0,128872.50738241037,573.4208694532264,0.44495205463154636,2022-01-14,1298.0,3980.215446792982,,,
Mexico,7692397.0,334699.0,127504120.0,60330.57598452505,2625.005372375418,4.351036484466415,2022-01-20,62299.857142857145,488.6105417052966,65.13,59.75,123.82
Micronesia (country),26547.0,65.0,114178.0,232505.38632661282,569.2865525758027,0.24484875880513807,2022-10-06,1144.7142857142858,10025.69922151628,,,
Moldova,625153.0,12128.0,3272993.0,191003.46380209184,3705.4769136383734,1.9400050867547627,2022-02-01,4687.857142857143,1432.2845001065211,,30.94,59.22
Monaco,17049.0,67.0,36491.0,467211.09314625524,1836.0691677399907,0.39298492580209987,2022-01-21,140.57142857142858,3852.2218785845434,,,
Mongolia,1011170.0,2284.0,3398373.0,297545.32536599133,672.0863189532167,0.22587695441913824,2022-01-26,8431.857142857143,2481.1452841866217,66.77,63.85,160.06
Montenegro,251280.0,2654.0,627082.0,400713.1443734631,4232.301357717172,1.0561922954473097,2022-01-09,2438.714285714286,3888.9878607810238,45.41,43.73,102.1
Montserrat,1403.0,8.0,4413.0,317924.31452526624,1812.8257421255382,0.5702066999287242,2022-05-14,42.142857142857146,9549.707034411318,,,
Morocco,1277082.0,16297.0,37457976.0,34093.72679399442,435.0742282498125,1.276112262172672,2021-08-11,9774.285714285714,260.9400388928039,41.96,30.0,71.96
Mozambique,233654.0,2249.0,32969520.0,7086.970025647932,68.21452056323538,0.962534345656398,2022-01-02,3837.1428571428573,116.3845532826337,,,
Myanmar,641324.0,19494.0,54179312.0,11837.06430233001,359.8052334071721,3.039649225664407,2021-07-22,5831.285714285715,107.62937916756334,,,
Namibia,172121.0,4100.0,2567024.0,67050.79500620173,1597.1802367254843,2.382045189140198,2021-06-28,1826.7142857142858,711.6077939724311,,,
Nauru,5393.0,1.0,12691.0,424946.81270191475,78.79599716334411,0.018542555164101613,2022-07-01,385.2857142857143,30358.97204993415,,,
Nepal,1003447.0,12031.0,30547586.0,32848.65128131565,393.84454143119524,1.1989671601987948,2021-05-12,8962.714285714286,293.4017203753608,,,
Netherlands,8618815.0,22986.0,17564020.0,490708.5621628762,1308.6981226393502,0.26669559562422446,2022-02-06,89471.71428571429,5094.033956105396,,,
New Caledonia,80064.0,314.0,289959.0,276121.79652985424,1082.9117220020762,0.3921862509992006,2022-02-18,1412.7142857142858,4872.11738802481,,,
New Zealand,2390777.0,3376.0,5185289.0,461069.19016471406,651.0726788805792,0.14120932232491779,2022-03-08,20520.428571428572,3957.4319910478607,82.37,76.59,207.49
