date,new_cases,new_deaths,new_cases_7day_avg,new_deaths_7day_avg
2021-03-31,442859.0,8360.0,566188.2857142857,9979.42857142857
2021-04-01,538564.0,10607.0,572363.7142857143,10134.57142857143
2021-04-02,559434.0,10664.0,577666.2857142857,10422.42857142857
2021-04-03,567320.0,10764.0,584551.4285714285,10653.857142857143
2021-04-04,1134209.0,17976.0,587697.0,10776.42857142857
2021-04-05,468392.0,8167.0,588024.1428571428,10662.285714285714
2021-04-06,426725.0,6882.0,591071.8571428572,10488.57142857143
2021-04-07,485564.0,8571.0,597172.5714285715,10518.714285714286
2021-04-08,622761.0,12451.0,609200.7142857143,10782.142857142857
2021-04-09,658068.0,11809.0,623291.2857142857,10945.714285714286
2021-04-10,651142.0,12544.0,635265.8571428572,11200.0
2021-04-11,1246423.0,19955.0,651296.4285714285,11482.714285714286
2021-04-12,607836.0,10001.0,671217.0,11744.714285714286
2021-04-13,548118.0,9362.0,688558.8571428572,12099.0
2021-04-14,608987.0,9723.0,706190.7142857143,12263.57142857143
2021-04-15,707942.0,12375.0,718359.4285714285,12252.714285714286
2021-04-16,708645.0,12127.0,725584.7142857143,12298.142857142857
2021-04-17,717477.0,12254.0,735061.1428571428,12256.714285714286
2021-04-18,1333828.0,20068.0,747547.5714285715,12272.857142857143
2021-04-19,707619.0,11399.0,761802.2857142857,12472.57142857143
2021-04-20,639189.0,10206.0,774812.4285714285,12593.142857142857
2021-04-21,679096.0,10839.0,784828.0,12752.57142857143
2021-04-22,783977.0,13090.0,795690.1428571428,12854.714285714286
2021-04-23,800632.0,13221.0,808831.1428571428,13011.0
2021-04-24,762822.0,11879.0,815309.0,12957.42857142857
2021-04-25,1322654.0,20797.0,813712.7142857143,13061.57142857143
2021-04-26,734681.0,12534.0,817578.7142857143,13223.714285714286
2021-04-27,648591.0,10884.0,818921.8571428572,13320.57142857143
2021-04-28,693540.0,11537.0,820985.2857142857,13420.285714285714
2021-04-29,795050.0,14242.0,822567.1428571428,13584.857142857143
2021-04-30,805128.0,13721.0,823209.4285714285,13656.285714285714
2021-05-01,789274.0,13274.0,826988.2857142857,13855.57142857143
2021-05-02,1227785.0,19884.0,813435.5714285715,13725.142857142857
2021-05-03,710420.0,12188.0,809969.7142857143,13675.714285714286
2021-05-04,638301.0,10553.0,808499.7142857143,13628.42857142857
2021-05-05,680155.0,11266.0,806587.5714285715,13589.714285714286
2021-05-06,777010.0,13622.0,804010.4285714285,13501.142857142857
2021-05-07,784911.0,13261.0,801122.2857142857,13435.42857142857
2021-05-08,757916.0,12906.0,796642.5714285715,13382.857142857143
2021-05-09,1115862.0,18437.0,780653.5714285715,13176.142857142857
2021-05-10,673393.0,12037.0,775364.0,13154.57142857143
2021-05-11,606745.0,10917.0,770856.0,13206.57142857143
2021-05-12,609857.0,11065.0,760813.4285714285,13177.857142857143
2021-05-13,696552.0,12670.0,749319.4285714285,13041.857142857143
2021-05-14,675556.0,12615.0,733697.2857142857,12949.57142857143
2021-05-15,642044.0,11875.0,717144.1428571428,12802.285714285714
2021-05-16,907892.0,16421.0,687434.1428571428,12514.285714285714
2021-05-17,587849.0,11726.0,675213.5714285715,12469.857142857143
2021-05-18,523811.0,11173.0,663365.8571428572,12506.42857142857
2021-05-19,530837.0,11458.0,652077.2857142857,12562.57142857143
2021-05-20,604609.0,12477.0,638942.5714285715,12535.0
2021-05-21,598508.0,12505.0,627935.7142857143,12519.285714285714
2021-05-22,585534.0,12241.0,619862.8571428572,12571.57142857143
2021-05-23,785530.0,14609.0,602382.5714285715,12312.714285714286
2021-05-24,506899.0,11106.0,590818.2857142857,12224.142857142857
2021-05-25,432361.0,9064.0,577754.0,11922.857142857143
2021-05-26,465859.0,10622.0,568471.4285714285,11803.42857142857
2021-05-27,534445.0,11456.0,558448.0,11657.57142857143
2021-05-28,518627.0,11564.0,547036.4285714285,11523.142857142857
2021-05-29,475562.0,11010.0,531326.1428571428,11347.285714285714
2021-05-30,613750.0,13782.0,506786.14285714284,11229.142857142857
2021-05-31,446119.0,10115.0,498103.28571428574,11087.57142857143
2021-06-01,372511.0,8331.0,489553.28571428574,10982.857142857143
2021-06-02,374552.0,8897.0,476509.4285714286,10736.42857142857
2021-06-03,436419.0,10137.0,462505.71428571426,10548.0
2021-06-04,454057.0,10311.0,453281.4285714286,10369.0
2021-06-05,420288.0,9888.0,445385.14285714284,10208.714285714286
2021-06-06,502073.0,10771.0,429431.28571428574,9778.57142857143
2021-06-07,367186.0,8672.0,418155.14285714284,9572.42857142857
2021-06-08,313540.0,7838.0,409730.71428571426,9502.0
2021-06-09,330868.0,8097.0,403490.14285714284,9387.714285714286
2021-06-10,363867.0,13379.0,393125.5714285714,9850.857142857143
2021-06-11,409388.0,11109.0,386744.28571428574,9964.857142857143
2021-06-12,391459.0,11044.0,382625.85714285716,10130.0
2021-06-13,471588.0,11040.0,378270.85714285716,10168.42857142857
2021-06-14,355519.0,10336.0,376604.14285714284,10406.142857142857
2021-06-15,299317.0,8119.0,374572.28571428574,10446.285714285714
2021-06-16,305760.0,7763.0,370985.4285714286,10398.57142857143
2021-06-17,374250.0,9550.0,372468.71428571426,9851.57142857143
2021-06-18,398899.0,9314.0,370970.28571428574,9595.142857142857
2021-06-19,365229.0,8477.0,367223.14285714284,9228.42857142857
2021-06-20,438168.0,9357.0,362448.85714285716,8988.0
2021-06-21,339089.0,7974.0,360101.71428571426,8650.57142857143
2021-06-22,301342.0,6760.0,360391.0,8456.42857142857
2021-06-23,316429.0,7039.0,361915.14285714284,8353.0
2021-06-24,404093.0,8470.0,366178.4285714286,8198.714285714286
2021-06-25,429330.0,8542.0,370525.71428571426,8088.428571428572
2021-06-26,386776.0,8209.0,373603.85714285716,8050.142857142857
2021-06-27,454820.0,9080.0,375982.71428571426,8010.571428571428
2021-06-28,362338.0,7281.0,379304.0,7911.571428571428
2021-06-29,319349.0,6571.0,381876.4285714286,7884.571428571428
2021-06-30,341786.0,6526.0,385498.85714285716,7811.285714285715
2021-07-01,405127.0,8220.0,385646.5714285714,7775.571428571428
2021-07-02,386688.0,8806.0,379554.85714285716,7813.285714285715
2021-07-03,410033.0,7968.0,382877.28571428574,7778.857142857143
2021-07-04,535007.0,8294.0,394332.5714285714,7666.571428571428
2021-07-05,372454.0,7387.0,395777.71428571426,7681.714285714285
2021-07-06,338404.0,6667.0,398499.85714285716,7695.428571428572
2021-07-07,373659.0,7175.0,403053.14285714284,7788.142857142857
2021-07-08,455792.0,8340.0,410291.0,7805.285714285715
2021-07-09,452183.0,8108.0,419647.4285714286,7705.571428571428
2021-07-10,600189.0,8356.0,446812.5714285714,7761.0
2021-07-11,693499.0,8571.0,469454.28571428574,7800.571428571428
2021-07-12,409800.0,7685.0,474789.4285714286,7843.142857142857
2021-07-13,383604.0,7789.0,481246.5714285714,8003.428571428572
2021-07-14,441816.0,7384.0,490983.28571428574,8033.285714285715
2021-07-15,497191.0,8133.0,496897.4285714286,8003.714285714285
2021-07-16,518953.0,8462.0,506436.0,8054.285714285715
2021-07-17,513398.0,8228.0,494037.28571428574,8036.0
2021-07-18,842386.0,8629.0,515306.85714285716,8044.285714285715
2021-07-19,425710.0,7524.0,517579.71428571426,8021.285714285715
2021-07-20,410386.0,7191.0,521405.71428571426,7935.857142857143
2021-07-21,452730.0,19923.0,522964.85714285716,9727.142857142857
