location,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred
United States,2020-10-18,,,
United States,2020-10-19,,,
United States,2020-10-20,,,
United States,2020-10-21,,,
United States,2020-10-22,,,
United States,2020-10-23,,,
United States,2020-10-24,,,
United States,2020-10-25,,,
United States,2020-10-26,,,
United States,2020-10-27,,,
United States,2020-10-28,,,
United States,2020-10-29,,,
United States,2020-10-30,,,
United States,2020-10-31,,,
United States,2020-11-01,,,
United States,2020-11-02,,,
United States,2020-11-03,,,
United States,2020-11-04,,,
United States,2020-11-05,,,
United States,2020-11-06,,,
United States,2020-11-07,,,
United States,2020-11-08,,,
United States,2020-11-09,,,
United States,2020-11-10,,,
United States,2020-11-11,,,
United States,2020-11-12,,,
United States,2020-11-13,,,
United States,2020-11-14,,,
United States,2020-11-15,,,
United States,2020-11-16,,,
United States,2020-11-17,,,
United States,2020-11-18,,,
United States,2020-11-19,,,
United States,2020-11-20,,,
United States,2020-11-21,,,
United States,2020-11-22,,,
United States,2020-11-23,,,
United States,2020-11-24,,,
United States,2020-11-25,,,
United States,2020-11-26,,,
United States,2020-11-27,,,
United States,2020-11-28,,,
United States,2020-11-29,,,
United States,2020-11-30,,,
United States,2020-12-01,,,
United States,2020-12-02,,,
United States,2020-12-03,,,
United States,2020-12-04,,,
United States,2020-12-05,,,
United States,2020-12-06,,,
United States,2020-12-07,,,
United States,2020-12-08,,,
United States,2020-12-09,,,
United States,2020-12-10,,,
United States,2020-12-11,,,
United States,2020-12-12,,,
United States,2020-12-13,0.01,0.0,0.01
United States,2020-12-14,0.01,0.0,0.02
United States,2020-12-15,0.03,0.0,0.03
United States,2020-12-16,0.07,0.0,0.08
United States,2020-12-17,0.15,0.0,0.16
United States,2020-12-18,0.28,0.0,0.29
United States,2020-12-19,0.33,0.0,0.34
United States,2020-12-20,0.36,0.0,0.38
United States,2020-12-21,0.48,0.0,0.49
United States,2020-12-22,0.61,0.01,0.63
United States,2020-12-23,0.78,0.01,0.8
United States,2020-12-24,0.84,0.01,0.86
United States,2020-12-25,0.84,0.01,0.87
United States,2020-12-26,0.89,0.01,0.91
United States,2020-12-27,0.91,0.01,0.94
United States,2020-12-28,1.09,0.01,1.12
United States,2020-12-29,1.3,0.01,1.34
United States,2020-12-30,1.55,0.01,1.59
United States,2020-12-31,1.68,0.01,1.72
United States,2021-01-01,1.72,0.02,1.76
