location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,case_fatality_rate
Papua New Guinea,46864.0,670.0,10142625.0,4620.500117080144,66.05784991557906,1.4296688289518606
Paraguay,735897.0,19978.0,6780745.0,108527.45531648808,2946.283926028777,2.714782095863959
Peru,4520727.0,221704.0,34049588.0,132768.91925975727,6511.209474840048,4.90416696252616
Philippines,4173631.0,66702.0,115559008.0,36116.88151563225,577.2116008472486,1.5981767434639047
Pitcairn,4.0,0.0,47.0,85106.3829787234,0.0,0.0
Poland,6525385.0,119655.0,39857144.0,163719.33222310158,3002.096688111923,1.8336849090130316
Portugal,5621015.0,27424.0,10270857.0,547278.0898419674,2670.0790401424147,0.4878834160734316
Puerto Rico,1252713.0,5938.0,3252412.0,385164.30267752055,1825.7219565048954,0.47401120607832764
Qatar,514524.0,690.0,2695131.0,190908.71649652653,256.01723997831647,0.1341045315670406
Reunion,494595.0,921.0,974062.0,507765.419449686,945.5250281809576,0.18621296212052285
Romania,3478091.0,68409.0,19659270.0,176918.6241401639,3479.732462090403,1.9668548062716014
Russia,23061960.0,400102.0,144713312.0,159363.08609950135,2764.7905674358417,1.734900242650668
Rwanda,133194.0,1468.0,13776702.0,9668.061340079796,106.55670711321186,1.1021517485772632
Saint Barthelemy,5507.0,5.0,10994.0,500909.58704748045,454.79352374022193,0.09079353550027239
Saint Helena,2166.0,0.0,5401.0,401036.8450286984,0.0,0.0
Saint Kitts and Nevis,6607.0,46.0,47681.0,138566.7246911768,964.7448669281265,0.6962312698652944
Saint Lucia,30147.0,410.0,179872.0,167602.51734566802,2279.398683508273,1.3600026536637144
Saint Martin (French part),12324.0,46.0,31816.0,387352.2755846115,1445.8134272064372,0.3732554365465758
